album_id,name,lastfm_playcount,lastfm_listeners,artist_id
1,1989,5153810,56798,2
2,x,1128578,25634,4
3,In the Lonely Hour,1314365,71085,5
4,Jealous,0,1,7
6,Shake It Off,520856,107117,2
7,All About That Bass,1120982,198065,6
8,For You,884742,76258,11
9,American Beauty / American Psycho,471062,9903,13
10,No Type,132447,33039,16
11,Truth Serum,1498939,183685,21
12,Hot Boy,16445,4805,25
13,1000 Forms of Fear,0,0,15
14,Native,0,0,29
15,Rude,685258,135263,33
16,Something In the Water,60787,19077,36
17,Sledgehammer,0,1,39
18,Love Me Like You Do,577865,98653,40
19,Try Me,43250,15204,42
20,Let It Go,266442,48886,43
21,Moonshine In The Trunk,93825,11694,52
22,The Big Revival,88627,13984,57
23,I Don't Dance,10247,1284,62
24,"Old Boots, New Dirt",82702,6528,63
25,A.M.,0,1,66
26,2014 Forest Hills Drive,1338966,65810,71
27,Fuse,435151,24120,75
28,Cole Swindell,112026,12242,80
29,Blank Space,15738,4126,81
30,Take It On Back,5280,1371,83
31,Days of Gold,222950,31587,85
32,Title,478631,44807,6
33,A Guy Walks Into a Bar,22979,7171,87
34,Bringing Back the Sunshine,123650,16215,89
35,Anaconda,592650,106600,92
36,Black Star Elephant,0,0,96
37,"The Hunger Games: Mockingjay, Part 1",12852,395,98
38,Sweet Talker,732461,57953,102
39,SUCKER,1970563,69123,104
40,Can't Stop Dancin',108234,28589,106
41,Merry Christmas,2905027,480566,110
42,SremmLife,403144,34911,16
43,"Songs of Anarchy, Vol. 4",0,1,122
44,0 To 100 / The Catch Up,295040,73736,123
45,Burnin' It Down,48071,13243,63
46,Pain Killer,80948,11932,125
47,PRISM,7945394,318876,133
48,Crash My Party,889875,70838,46
49,Boom Clap,745118,137953,104
50,Girl,81329,5145,137
51,Sunshine & Whiskey,101598,17426,139
52,5 Seconds of Summer,1219496,86748,141
53,Four,1214470,13572,34
54,Am I Wrong,0,1,96
55,Maps,0,1,9
56,No Label II,141679,15648,143
57,SHMURDA SHE WROTE,40964,7896,25
58,Thriller,7868200,941444,147
59,Upside Out,124550,28625,150
60,American Kids,81539,25723,57
61,Ghost Stories,5010887,218844,151
62,Ignite The Night,0,1,159
63,Shower,637570,121470,106
64,Glenn Campbell I'll Be Me Soundtrack,165,19,163
65,Bo$$,202802,40667,39
66,The Days,407406,98656,164
67,Errrbody,0,1,167
68,Later On,24468,6757,168
69,Bartender,54088,12462,170
70,U Guessed It,2200,580,173
71,Riser,244050,32362,176
72,Anything Goes,151044,15166,47
73,Angel in Blue Jeans,92995,29908,177
74,This Is All Yours,5634998,212286,179
75,The Pinkprint,1103660,59409,92
76,The New Classic,0,0,188
77,XSCAPE,0,1,189
78,Good Kisser,98224,31411,191
79,Turn Down for What,370563,101374,192
80,V,1697675,112973,9
81,River Bank,42942,11815,52
82,Blacc Hollywood,0,1,197
83,I Don't Dance (Single),61087,15798,62
84,We Are Tonight,128975,20183,198
85,Lunatic,0,0,200
86,Lights Out,762856,64047,201
87,Shakira.,761561,28308,204
88,MKTO,663058,115407,205
89,Bad Blood,7327560,372229,206
90,I'm Ready,15377,2829,208
91,Now That's What I Call Music! 51,1382,326,210
92,Me and My Broken Heart,458041,95315,211
93,Na Na,140927,37626,186
94,Chasing the Sun,145021,14434,216
95,Not a Bad Thing,417671,93650,217
96,Pure Heroine,0,0,98
97,Happy Little Pill,152983,33052,220
98,She Twerkin,21509,7968,224
99,Love Is Everything,110424,12002,227
100,Pioneer,396117,31741,228
101,Never Regret,56275,9056,233
102,Bring You Back,203887,27546,67
103,Night Visions,0,0,59
104,Pop Psychology,374509,32862,245
105,The Blessed Unrest,1990538,114113,246
106,Ultraviolence,0,0,243
107,Magic,1506184,252888,151
108,Raging Fire,54387,16880,249
109,Xo,323319,86613,253
110,All the Little Lights,0,0,256
111,It Goes Like This,0,0,61
112,Thuga Thug,877,122,259
113,High Noon,53570,11474,263
114,More Than Just a Dream,862090,79654,264
115,Fever,521987,132329,265
116,Halcyon Days,4802065,260071,40
117,Oxymoron,1004220,40715,275
118,Based On A True Story...,446101,45999,89
119,AM,32570548,565945,285
120,Zion,459430,21244,286
121,Slow Me Down,70321,10738,289
122,Night Train,724336,46650,63
123,Unorthodox Jukebox,8752867,467937,296
124,The Andrea Faustini Collection,1423,33,291
125,ARTPOP,19937532,215422,298
126,See You Tonight,151856,22113,126
127,Tribute,0,1,302
128,Rebellious Soul,124921,8479,303
129,I Thought I Was an Alien,0,1,304
130,Megalithic Symphony,6537084,487336,306
131,Nothing Was the Same,0,0,123
132,Ordinary Love,0,1,308
133,Discrete Luxury,27414,7810,311
134,Baptized (Deluxe Version),345448,20462,312
135,The 1975,5783540,238902,313
136,Chillin' It,71879,16325,80
137,Helios,642368,40445,316
138,Friday Night,61530,15060,213
139,In a Tidal Wave of Mystery,3456678,240676,321
140,I'm Sorry...,2188373,237818,322
141,Whatever She's Got,72690,15510,323
142,Me. I Am Mariah…The Elusive Chanteuse,399465,9276,110
143,Uncaged,786644,58824,332
144,Same Trailer Different Park,1179104,58757,335
145,Tattoos,1218384,175158,91
146,Wasting All These Tears,91741,18261,340
147,Drunk Last Night,75723,18348,184
148,How I Feel,111451,31855,342
149,Save Rock and Roll,9398284,242406,13
150,Journals,977117,23358,343
151,Zendaya,421591,28860,345
152,The 20/20 Experience - 2 of 2,656587,58625,217
153,Crickets,129893,18953,193
154,The Fox,545863,99811,348
155,Sex and Love,383942,50416,357
156,Yeezus,11593212,361162,359
157,PTXmas Deluxe Edition,1123,123,101
158,Stars Dance,5341558,109472,11
159,Wrapped in Red,481204,44518,365
160,"Promo Only: Hot Video, January 2014",136,28,371
161,Two Lanes Of Freedom,0,0,43
162,Love and War,335686,21192,374
163,The 20/20 Experience,6182748,237296,217
164,Type of Way,17076,5824,376
165,Paramore,0,1,210
166,A Day Without Rain,4602333,254027,378
167,Four the Record,454475,39726,239
168,Hard 2 Love,523459,57576,62
169,Heartthrob,4357935,157892,399
170,Best I Ever Had,0,1,402
171,Here's To The Good Times,1037184,99674,47
172,Overexposed,0,0,9
173,Redneck Crazy,157441,26701,87
174,Lightning Bolt,2899327,118969,407
175,Take Back the Night,215420,60465,217
176,American Girl,121450,18642,416
177,Musikvideos Jahrescharts 2013 Top 100,80,31,418
178,All Over The Road,0,1,419
179,"The Disco Boys, Volume 14",0,1,164
180,Rubberband,53508,7821,420
181,Yours Truly,3557553,93591,100
182,Blown Away,2286451,138305,36
183,Excuse My French,0,0,433
184,Reflektor,0,0,434
185,Come & Get It,677009,112227,11
186,Ciara,1581651,85997,437
187,Turn The Night Up,39928,8484,357
188,Life On A Rock,120405,13856,57
189,Young Rich N*ggas,165068,25127,143
190,Hail To The King,0,0,444
191,Hunter Hayes (encore),162521,10639,272
192,Paradise Valley,2699996,144852,253
193,Helluva Night,11244,4133,449
194,"Too Weird to Live, Too Rare to Die!",2735055,85238,455
195,Word of Mouth,305954,12472,457
196,Tornado,0,1,125
197,The Lumineers,0,1,460
198,Babel,0,0,462
199,Demi,5932660,161546,270
200,What About Love,86268,14902,463
201,Chloe (You're the One I Want),55498,10647,464
202,True Believers,261675,38943,72
203,Up All Night,585305,78013,466
204,Barefoot Blue Jean Night,1113526,162776,85
205,Wheelhouse,186846,18766,52
206,Ooh La La,55451,4653,349
207,Greatest Hits - Chapter One,903200,51906,365
208,Avril Lavigne,4252012,99740,282
209,Fine China,237287,53021,185
210,+,14572914,480270,4
211,Halfway To Heaven,479699,71156,247
212,Get Wet,1234004,66119,482
213,Harlem Shake,0,1,484
214,Downtown,83169,21722,170
215,Chief,1518578,153612,45
216,From Here To Now To You,1387078,106608,491
217,Every Weekend,0,1,495
218,A Thousand Miles Left Behind,0,1,497
219,Talk a Good Game,442814,26181,505
220,Give It All We Got Tonight,56987,14607,227
221,Some Nights,12800918,581323,508
222,Greatest Hits,64800,3530,371
223,"Food & Liquor II: The Great American Rap Album, Part 1",28778,1160,512
224,Neon,573705,91251,66
225,"Bravo Black Hits, Volume 28",351,178,522
226,My Head Is an Animal,0,0,525
227,Pluto,695943,95897,353
228,Somewhere Somehow,241567,8720,530
229,Take Me Home,4938005,65717,34
230,Catch My Breath,245731,52391,365
231,The 2nd Law,14622061,440073,531
232,LiVe,0,1,534
233,Hunter Hayes,1302514,107783,272
234,One Way or Another (Teenage Kicks),0,1,34
235,Based on a T.R.U. Story,1036451,121342,538
236,Kaleidoscope Dream,2781951,149031,443
237,Better Dig Two,0,1,228
238,House of Balloons,5604102,145915,60
239,Hey Porsche,233074,56696,544
240,Pitch Perfect,23189,627,400
241,Finally Rich,1110209,78015,547
242,Home,479426,75831,176
243,Swimming Pools (Drank),810556,165899,127
244,Boys & Girls,0,0,554
245,Wild Ones,3513649,359890,342
246,Every Storm (Runs Out Of Rain),100292,22764,556
247,How Country Feels,349195,37955,70
248,Casey James,0,1,558
249,Back In The Saddle,79660,14448,561
250,Gossamer,8397177,450738,566
251,The Lateness Of the Hour,5044148,358820,569
252,We Are Never Ever Getting Back Together,1283734,206466,2
253,channel ORANGE,16026343,477854,574
254,Bright Lights,0,1,40
255,Live While We're Young,354510,68128,34
256,Hello My Name Is...,1079700,47986,581
257,The Truth About Love,7003983,375694,533
258,Tailgates & Tanlines,0,1,46
259,Welcome To The Fishbowl,320362,40261,57
260,Everybody Talks,843383,181690,245
261,Changed,249704,29390,251
262,California 37,2350313,177423,177
263,Chapter V,465594,35807,186
264,Unbroken,8410430,267176,270
265,I Won't Give Up,1080335,195381,613
266,Red Karaoke,10422,1625,2
267,Sticks & Stones,0,1,615
268,North,814914,35785,617
269,Talk That Talk,12687434,512259,371
270,Shinin' On Me,41078,13423,263
271,Up All Night,11295758,350629,34
272,"Glee: The Music, The Complete Season Four",403471,1912,408
273,Heart Attack,161232,36333,186
274,Jana Kramer,200301,15945,536
275,Angel Eyes,114012,30743,622
276,The Wanted,0,0,457
277,Living Things,13221242,315642,628
278,Ronan,15809,1389,2
279,Punching Bag,148791,24311,634
280,Kiss,1945412,140168,563
281,That's Why I Pray,21845,6715,124
282,¡Uno!,1802955,74661,635
283,O.N.I.F.C.,1341172,73648,197
284,Never Trust A Happy Song,5256462,377326,637
285,Push and Shove,2289943,76690,638
286,Welcome Reality,4953324,335367,640
287,The Band Perry EP,585190,190280,228
288,Own the Night,1863872,165983,170
289,Cashin' Out,166633,55395,224
290,Global Warming,1223844,148712,648
291,Believe,3983432,236474,343
292,El Camino,17828606,359966,265
293,The Video Year Mix 2012,345,98,187
294,Hello,1099226,99243,445
295,Life At Best,656602,89657,184
296,Clancy's Tavern,318759,64090,655
297,Battle Born,4772006,193237,656
298,Trouble Man: Heavy Is the Head,442564,44330,658
299,Drank In My Cup,227014,51444,666
300,My Kinda Party,2135518,240387,63
301,21,0,1,550
302,You Get What You Give,1404818,101250,332
303,Strange Clouds,0,1,676
304,Sorry for Party Rocking,5720683,519966,678
305,The Hunger Games: Songs from District 12 and Beyond,587412,44597,2
306,Born and Raised,0,0,253
307,Andy Grammer,778532,73406,680
308,Emotional Traffic,95070,9550,43
309,Red River Blue,849872,95942,89
310,Undefeated,40435,11122,91
311,Mylo Xyloto,29580625,857896,151
312,This Ole Boy,136296,32388,267
313,Well Done 2,191612,12319,689
314,100x Liefde 2014,242,46,343
315,Shake It Out,3889,624,408
316,Scary Monsters and Nice Sprites,7194273,335244,698
317,Who You Are,8741855,621213,102
318,It's Not Right But It's Okay,1825,194,408
319,Somebody That I Used To Know,8871,1475,408
320,Making Mirrors,16335865,803825,705
321,A Thousand Years,189094,29178,242
322,It Will Rain,624088,124763,296
323,Inevitable,80140,15052,186
324,Rebels On The Run,49954,7619,710
325,Hungry Like the Wolf / Rio,1258,163,408
326,Get Closer,552718,39651,75
327,Sweeter,1856484,192026,402
328,Tonight Is The Night,0,1,712
329,Amaryllis,2315026,75807,714
330,She Doesn't Mind,569530,107260,717
331,Nu Music Traxx #322,358,98,227
332,Hemingway's Whiskey,484256,67978,57
333,Ceremonials,19352561,587723,727
334,Hell Is What You Make It,2632850,134214,728
335,Torches,29399976,1110178,729
336,When the Sun Goes Down,5128511,234831,730
337,Return of Simba,10906,3377,71
338,Clear As Day,264186,33680,126
339,Young the Giant,7483577,476663,732
340,#BitchImTheShit,0,1,689
341,The Greatest Hits,1357241,326912,735
342,Fly / I Believe I Can Fly,2379,205,408
343,Cough Syrup,7891,745,408
344,What Doesn't Kill You (Stronger),3295,304,408
345,Here's To Us,2565,185,408
346,Glad You Came,3617,303,408
347,Whitney Houston,947695,199155,735
348,Doo-Wops & Hooligans,10415972,695087,296
349,Scars & Stories,1904647,136983,316
350,I Will Always Love You,1600,193,408
351,Stereo Hearts,9500,736,408
352,All of You,0,0,94
353,Human Nature,1361,152,408
354,Black Or White,3092,234,408
355,Wanna Be Startin' Somethin',1778,112,408
356,Outlaws Like Me,389269,58201,231
357,This Is Country Music,749783,84936,52
358,We Found Love,7711,694,408
359,Moves Like Jagger / Jumpin' Jack Flash,1191,119,408
360,The First Time Ever I Saw Your Face,1199,140,408
361,Amen,30944,14224,759
362,Glee: The Music Presents Glease,314397,14297,408
363,A Different Kind Of Truth,770434,46423,760
364,Fallen Empires,3033185,92882,761
365,Born to Die,0,0,243
366,Blue Slide Park,3059211,175666,702
367,Goodbye Lullaby,10554699,320000,282
368,Here And Now,0,0,762
369,Set You Free,79257,19389,765
370,Under the Mistletoe,0,1,343
371,Best Day Ever,2742574,78346,702
372,More Monsters And Sprites,1338053,74540,698
373,Science & Faith,4687705,401939,144
374,K.I.D.S.,1370491,50344,702
375,Baggage Claim,60975,24021,239
376,We Are Young,15439,2188,408
377,Do They Know It's Christmas?,155,27,408
378,Survivor / I Will Survive,5295,365,408
379,Red Solo Cup,426,73,408
380,Girls Just Want To Have Fun,1167,103,408
381,I Kissed A Girl,24021,989,408
382,Rumour Has It / Someone Like You,11563,1896,408
383,I'm the Only One,387,79,408
384,Constant Craving,1163,122,408
385,Take Care,11723017,459898,123
386,Waking Up,10629345,762469,29
387,Judge Jerrod & The Hung Jury,529162,118638,263
388,Loud,0,0,371
389,"Charleston, SC 1966",0,0,72
390,I Can't Go For That / You Make My Dreams,1096,85,408
391,Femme Fatale,0,0,349
392,Hit Me With Your Best Shot / One Way or Another,0,1,408
393,Uptown Girl,3909,400,408
394,Ronnie Dunn,178978,43543,789
395,Here For A Good Time,182183,39930,227
396,Whatever,1316382,98957,792
397,Take A Back Road,296205,52219,793
398,Last Friday Night,2909,573,408
399,Born This Way,37175501,588089,298
400,Finally Famous,1555434,200065,553
401,All I Want Is You,1830411,230079,443
402,Proud To Be Here,76676,21456,806
403,Calling All the Monsters,22290,6651,807
404,Evanescence,5434275,135344,809
405,Fix You,2694,483,408
406,Run The World (Girls),0,1,408
407,Love Don't Run,32299,11132,815
408,Rolling Papers,5805618,347860,197
409,Gucci Gucci,342974,95938,817
410,Wasting Light,16021636,615574,818
411,It's Not Unusual,3809,410,408
412,You Can't Stop The Beat,2600,281,408
413,We Got the Beat,3201,270,408
414,Enjoy Yourself,511060,115091,198
415,Let Them Talk,2890408,81245,824
416,Duets II,645612,79953,827
417,Hell On Heels,462106,50817,829
418,"Save Me, San Francisco",3003351,409852,177
419,F.A.M.E.,2351547,168662,185
420,Hands All Over,0,0,9
421,Lasers,4092994,226449,651
422,American Capitalist,3691864,133784,851
423,Young Love,2006471,139697,852
424,Hello Fear,177927,17974,857
425,I'm On One,54738,2115,123
426,"Blood, Sweat & Tears",17488,2664,862
427,Cannibal,6696384,466239,535
428,Teenage Dream,0,0,133
429,The Band Perry,1669823,187401,228
430,Holding Onto Strings Better Left to Fray,879810,77327,865
431,A Thousand Suns,16538967,356757,628
432,Haywire,481495,129620,634
433,Stitch By Stitch,2937,359,866
434,Meet the Orphans,564350,97091,867
435,Inventing Shadows,3953,729,868
436,Revolution,1700058,232051,239
437,The Bling Ring: Original Motion Picture Soundtrack,6312,469,359
438,Today Is Your Day,19713,3353,886
439,Fastlife,580495,40880,889
440,Monster,486475,67764,210
441,Nothing Like This,348903,44110,251
442,Bullets In The Gun,79598,15690,655
443,Eleven,95680,11073,740
444,Wildflower,203877,24634,891
445,Cat Daddy,32363,14255,893
446,Danger Days: The True Lives of the Fabulous Killjoys,10941519,250012,894
447,(It) Feels So Good,22610,6289,895
448,"Glee: The Music, The Complete Season Two",702368,7609,408
449,BTR,1174093,77140,901
450,Where Country Grows,43327,9773,902
451,Club Going Crazy,44667,24889,903
452,"Passion, Pain & Pleasure",0,1,186
453,I Am Woman,23156,7202,906
454,Hell: The Sequel,1325740,135257,907
455,Not Ready To Die,77845,11378,444
456,Greatest Hits... So Far!!!,1509486,55493,533
457,Are You Gonna Kiss Me Or Not,233755,104887,297
458,Craig Campbell,152170,36714,233
459,No Boys Allowed,1396233,191617,919
460,I Remember Me,731096,74677,929
461,The Incredible Machine,466333,53827,930
462,Georgia Clay,98921,19425,931
463,Need You Now,4324025,424901,170
464,"Bravo Black Hits, Volume 24",170,64,938
465,Loaded: The Best of Blake Shelton,315019,47833,89
466,Number One Hits,667737,61628,43
467,The Man I Want To Be,0,1,66
468,High Maintenance,187404,19717,942
469,Doin' My Thing,1157077,233459,46
470,What Are Words,274646,37006,948
471,The JaneDear Girls,48493,5864,952
472,"Promo Only: Country Radio, September 2010",52,28,193
473,King Of Hearts,457968,87157,955
474,My World 2.0,4139782,276976,343
475,Sigh No More,0,0,462
476,Do The John Wall,47947,18543,959
477,Wonders of the Younger,1051426,86900,964
478,31 Minutes to Takeoff,2567462,297363,966
479,Time of My Life,1750393,80017,967
480,Endgame,10163044,273900,974
481,Play On,2862080,271969,36
482,Some Kind of Trouble,2532515,107771,977
483,Brothers,0,1,265
484,Country Strong: More Music from the Motion Picture,438,27,978
485,Twang,147848,20032,227
486,Stuck Like Glue,195877,88636,930
487,American Saturday Night,0,0,52
488,"I'm Alive, I'm Dreaming",525936,38097,988
489,A Year Without Rain,1942611,156988,730
490,The Preview,1385957,208779,993
491,Hit It Again,9264,1204,765
492,Christmas Lights,637619,143602,151
493,Love Letter,436888,48418,998
494,Leave This Town,0,0,312
495,Merry Christmas II You,928909,62351,110
496,Strip Me,823029,75795,1002
497,Animal,0,0,535
498,Kaleidoscope Heart,4364299,250471,246
499,Cowboy's Back In Town,89104,19367,806
500,Man on the Moon II: The Legend of Mr. Rager,7426507,404278,588
501,It's America,1369527,309546,793
502,For Your Entertainment,10168706,387904,772
503,Streets of Gold,0,0,765
504,Still Standing,661268,134184,1013
505,Come Around Sundown,16126510,627932,1015
506,Recovery,23640696,1282071,315
507,Way Out Here,0,1,1020
508,Pink Friday,10633498,550638,92
509,Brand New Eyes,34337526,723058,210
510,On Your Side,3071107,83899,1027
511,The Nino Brown Mixtape,0,1,769
512,Thank Me Later,8528876,395031,123
513,The Script,11817588,792456,144
514,Back To Me,394146,70504,1033
515,Love Like Crazy,695711,178079,62
516,Hold You,185385,32368,1036
517,That's Why,256437,84466,267
518,La Roux,17616586,659168,1042
519,The Fame Monster,35580786,1266440,298
520,Sparks Fly,981295,122604,942
521,Cradlesong,1133990,80513,1048
522,The Element of Freedom,6966615,534519,1049
523,Telephantasm,567816,83492,1050
524,Dark Horse,12391841,526150,762
525,Breakthrough,3036085,297709,94
526,Wide Open,1236623,228059,63
527,Nightmare,13351316,294914,444
528,She Won't Be Lonely Long,85671,20031,1060
529,"Alternative Times, Volume 114",117,56,714
530,Can't Be Tamed,7052718,302797,291
531,Hannah Montana Forever,1158,111,1062
532,Now That’s What I Call Music! 76,1043,74,1063
533,Old Things New,184937,67300,193
534,Ready,2172875,134201,186
535,"Promo Only: Country Radio, March 2010",116,44,740
536,No Mercy,1812322,123499,658
537,Asylum,5485516,143499,1078
538,Replay,0,1,877
539,Another Round,173267,19268,1079
540,Glee: The Music: Journey To Regionals,6416,657,408
541,"Glee: The Music, Volume 1",3177019,233031,408
542,Bionic,0,0,609
543,Glee: The Music: Best Of Season One,2750,579,408
544,Steel Magnolia,147824,34333,1081
545,To The Sea,4012908,236286,491
546,"Glee: The Music, The Complete Season One",2081434,29452,408
547,Unstoppable,779799,103195,251
548,We Are Young Money,1785378,323795,1087
549,Keep On,591359,115969,1091
550,Greatest Hits II,644481,62235,57
551,The Foundation,1777507,136394,332
552,The Blow Up,145739,5045,71
553,Neutron Star Collision (Love Is Forever),178221,16328,531
554,Today Was a Fairytale,132622,36153,2
555,Justin Moore,1282548,231338,231
556,Kiss & Tell,4735603,561274,730
557,She Wolf,7589157,537384,204
558,BLACKsummers'night,1113299,135309,1104
559,All I Ever Wanted,8284073,522469,365
560,The Time of Our Lives,4111613,514675,291
561,Scars & Souvenirs,0,1,1109
562,Give Me A Sign (Forever And Ever),22,12,1110
563,Defying Gravity,954943,143104,75
564,Believe,932283,54387,1116
565,Smoke & Mirrors,2527987,222465,1117
566,The State vs. Radric Davis,748131,62557,1120
567,Sex Therapy: The Experience,878855,105210,237
568,Backspacer,8828312,395344,407
569,Little Bit Of Everything,885733,241026,198
570,B.o.B Presents: The Adventures of Bobby Ray,3678527,255033,676
571,Light,0,1,1136
572,The Bridge,1178908,126597,715
573,Soldier of Love,3121667,205332,1139
574,"Nu Rock Traxx, Volume 408: CAN",291,119,1143
575,Wolfgang Amadeus Phoenix,0,0,1144
576,The Sound of Madness,7598698,278308,714
577,Learn To Live,0,0,72
578,Boston's Boy,998426,220823,1146
579,Ocean Eyes,18809651,734494,1140
580,My Best Days,88525,9657,1150
581,Only by the Night,53546565,1799792,1015
582,The Fame,44912896,1655539,298
583,Pants on the Ground,1659,541,1154
584,Small Town Girl,980852,200290,1157
585,The Singles Collection,0,0,349
586,Southern Voice,1479148,305804,43
587,Feel That Fire,380242,48276,176
588,Who I Am,761202,84883,1170
589,Major Tom,0,1,1172
590,Hope for Haiti Now,16272,2044,1173
591,My World,3168371,297173,343
592,Startin' With Me,40,6,85
593,Growing Up Is Getting Old,202940,66675,1177
594,The Resistance,37969970,983736,531
595,Life Starts Now,12471460,569286,1178
596,Graffiti,2496723,317901,185
597,Rated R,15959998,806574,371
598,Dear Agony,8220516,348196,1110
599,Hot Mess,3006684,118408,1181
600,I'm About To Come Alive,569185,130924,323
601,Årsbeste 2009,1411,556,1104
602,"Promo Only: Country Radio, April 2009",70,24,66
603,Raditude,1772454,140599,1188
604,Relapse: Refill,1845065,172017,315
605,Echo,4287463,336076,1199
606,Jeremih,1020323,199580,1200
607,Greatest Hits,14063347,587649,818
608,Kings and Queens,175829,40227,1201
609,Memoirs of an Imperfect Angel,4660468,282855,110
610,MTV Unplugged,48425,12611,186
611,I Dreamed A Dream,1034201,106515,1203
612,My Paper Heart,219633,17381,1208
613,The Circle,1536632,84346,383
614,Rebelution,2376530,352184,648
615,Before I Self Destruct,1051337,55295,859
616,Love Drunk,4720827,305189,1215
617,Whatever You Like,39555,3679,1218
618,American Ride,278135,80256,655
619,21st Century Breakdown,21288689,593111,635
620,Tomorrow,942174,224111,1039
621,Cage the Elephant,8571148,569312,940
622,Good Morning,180367,83347,1226
623,Skinny Jeanz And A Mic,103699,21573,1227
624,The Fray,0,0,316
625,So Far Gone,7226998,879757,123
626,Slice,691558,85017,1233
627,Battlefield,1769989,175623,906
628,Dorrough Music,198662,74487,1234
629,Sounds Like Life,60192,24882,1235
630,Party Rock,3754336,324240,678
631,Black Gives Way to Blue,0,0,1236
632,One of the Boys,24559673,1675791,133
633,Greatest Hits,692992,19628,628
634,Anything Goes,0,0,70
635,I Look to You,1662195,134218,735
636,David Cook,2677490,135702,1240
637,City Of Black & White,1634670,208097,852
638,Losing Sleep,2058024,222284,1243
639,Love On The Inside,0,1,930
640,Imperial Blaze,1111604,53968,717
641,Full Circle,2314144,131445,1156
642,Awake,7387727,256890,1248
643,Want,11040741,454147,765
644,Jessie James,686736,88597,1249
645,Kellie Pickler,572434,133664,1157
646,Here We Go Again,6639076,308217,270
647,Grand,6722624,389449,1255
