"artist_id";"album_id"
"2";"1"
"2";"6"
"2";"252"
"2";"266"
"2";"278"
"2";"305"
"2";"554"
"2";"777"
"2";"792"
"3";"1827"
"4";"2"
"4";"210"
"5";"3"
"6";"7"
"6";"32"
"7";"4"
"8";"1844"
"9";"55"
"9";"80"
"9";"172"
"9";"420"
"9";"797"
"11";"8"
"11";"158"
"11";"185"
"11";"708"
"13";"9"
"13";"149"
"13";"677"
"13";"845"
"13";"1016"
"13";"1033"
"15";"13"
"15";"1649"
"16";"10"
"16";"42"
"21";"11"
"21";"1792"
"25";"12"
"25";"57"
"25";"1824"
"29";"14"
"29";"386"
"29";"770"
"33";"15"
"34";"53"
"34";"229"
"34";"234"
"34";"255"
"34";"271"
"36";"16"
"36";"182"
"36";"481"
"36";"693"
"36";"838"
"36";"886"
"39";"17"
"39";"65"
"40";"18"
"40";"116"
"40";"254"
"42";"19"
"43";"20"
"43";"161"
"43";"308"
"43";"466"
"43";"586"
"43";"932"
"43";"985"
"43";"1052"
"45";"215"
"45";"873"
"46";"48"
"46";"258"
"46";"469"
"47";"72"
"47";"171"
"50";"806"
"52";"21"
"52";"81"
"52";"205"
"52";"357"
"52";"487"
"52";"727"
"52";"924"
"52";"1152"
"57";"22"
"57";"60"
"57";"188"
"57";"259"
"57";"332"
"57";"550"
"57";"767"
"57";"825"
"57";"889"
"57";"1114"
"59";"103"
"59";"1833"
"60";"238"
"60";"1484"
"60";"1485"
"60";"1514"
"60";"1677"
"61";"111"
"62";"23"
"62";"83"
"62";"168"
"62";"515"
"63";"24"
"63";"45"
"63";"122"
"63";"300"
"63";"526"
"63";"796"
"63";"922"
"66";"25"
"66";"224"
"66";"467"
"66";"602"
"67";"102"
"68";"1834"
"68";"1835"
"70";"247"
"70";"634"
"71";"26"
"71";"337"
"71";"552"
"71";"1661"
"72";"202"
"72";"389"
"72";"577"
"75";"27"
"75";"326"
"75";"563"
"75";"743"
"75";"859"
"75";"1024"
"80";"28"
"80";"136"
"81";"29"
"83";"30"
"85";"31"
"85";"204"
"85";"592"
"85";"674"
"87";"33"
"87";"173"
"89";"34"
"89";"118"
"89";"309"
"89";"465"
"89";"887"
"89";"1026"
"91";"145"
"91";"310"
"92";"35"
"92";"75"
"92";"508"
"94";"352"
"94";"525"
"94";"649"
"94";"765"
"94";"835"
"96";"36"
"96";"54"
"98";"37"
"98";"96"
"98";"1671"
"100";"181"
"100";"1756"
"100";"1760"
"100";"1773"
"101";"157"
"101";"1830"
"102";"38"
"102";"317"
"104";"39"
"104";"49"
"106";"40"
"106";"63"
"110";"41"
"110";"142"
"110";"495"
"110";"609"
"110";"757"
"110";"1049"
"110";"1062"
"122";"43"
"123";"44"
"123";"131"
"123";"385"
"123";"425"
"123";"512"
"123";"625"
"123";"1679"
"124";"281"
"124";"864"
"124";"996"
"124";"1070"
"124";"1171"
"124";"1197"
"125";"46"
"125";"196"
"125";"970"
"126";"126"
"126";"338"
"127";"243"
"127";"1586"
"133";"47"
"133";"428"
"133";"632"
"134";"920"
"135";"926"
"135";"1139"
"137";"50"
"139";"51"
"141";"52"
"143";"56"
"143";"189"
"144";"373"
"144";"513"
"147";"58"
"147";"1264"
"147";"1382"
"147";"1383"
"150";"59"
"150";"941"
"151";"61"
"151";"107"
"151";"311"
"151";"492"
"151";"724"
"151";"1038"
"151";"1273"
"151";"1280"
"151";"1358"
"151";"1505"
"159";"62"
"160";"1463"
"160";"1794"
"160";"1795"
"163";"64"
"164";"66"
"164";"179"
"167";"67"
"168";"68"
"170";"69"
"170";"214"
"170";"288"
"170";"463"
"170";"779"
"173";"70"
"176";"71"
"176";"242"
"176";"587"
"176";"771"
"176";"995"
"176";"1173"
"177";"73"
"177";"262"
"177";"418"
"177";"1235"
"179";"74"
"179";"1596"
"184";"147"
"184";"295"
"184";"670"
"185";"209"
"185";"419"
"185";"596"
"185";"756"
"185";"938"
"186";"93"
"186";"263"
"186";"273"
"186";"323"
"186";"452"
"186";"534"
"186";"610"
"186";"778"
"187";"293"
"187";"1588"
"187";"1777"
"187";"1810"
"188";"76"
"188";"1731"
"189";"77"
"191";"78"
"191";"703"
"191";"1132"
"192";"79"
"193";"153"
"193";"472"
"193";"533"
"193";"843"
"193";"904"
"193";"1133"
"197";"82"
"197";"283"
"197";"408"
"198";"84"
"198";"414"
"198";"569"
"198";"869"
"198";"1194"
"200";"85"
"201";"86"
"201";"739"
"201";"812"
"204";"87"
"204";"557"
"205";"88"
"206";"89"
"208";"90"
"210";"91"
"210";"165"
"210";"440"
"210";"509"
"210";"705"
"210";"748"
"211";"92"
"213";"138"
"216";"94"
"216";"871"
"216";"1097"
"216";"1229"
"216";"1838"
"217";"95"
"217";"152"
"217";"163"
"217";"175"
"217";"839"
"217";"849"
"220";"97"
"224";"98"
"224";"289"
"227";"99"
"227";"220"
"227";"331"
"227";"395"
"227";"485"
"227";"680"
"227";"865"
"227";"1015"
"227";"1180"
"227";"1220"
"228";"100"
"228";"237"
"228";"287"
"228";"429"
"231";"356"
"231";"555"
"233";"101"
"233";"458"
"235";"837"
"235";"907"
"235";"1142"
"235";"1239"
"237";"567"
"237";"856"
"237";"1655"
"239";"167"
"239";"375"
"239";"436"
"239";"696"
"239";"1039"
"242";"321"
"243";"106"
"243";"365"
"243";"1590"
"245";"104"
"245";"260"
"246";"105"
"246";"498"
"247";"211"
"249";"108"
"251";"261"
"251";"441"
"251";"547"
"251";"775"
"251";"936"
"251";"1068"
"251";"1216"
"253";"109"
"253";"192"
"253";"306"
"253";"753"
"253";"840"
"253";"1154"
"253";"1406"
"256";"110"
"259";"112"
"263";"113"
"263";"270"
"263";"387"
"264";"114"
"265";"115"
"265";"292"
"265";"483"
"265";"1429"
"265";"1510"
"265";"1741"
"267";"312"
"267";"517"
"267";"807"
"267";"1010"
"270";"199"
"270";"264"
"270";"646"
"272";"191"
"272";"233"
"275";"117"
"282";"208"
"282";"367"
"282";"900"
"282";"1159"
"285";"119"
"286";"120"
"289";"121"
"289";"834"
"289";"1035"
"289";"1182"
"291";"124"
"291";"530"
"291";"560"
"291";"720"
"291";"782"
"296";"123"
"296";"322"
"296";"348"
"297";"457"
"298";"125"
"298";"399"
"298";"519"
"298";"582"
"298";"1695"
"302";"127"
"303";"128"
"304";"129"
"306";"130"
"308";"132"
"308";"694"
"308";"1146"
"308";"1778"
"311";"133"
"312";"134"
"312";"494"
"312";"722"
"313";"135"
"315";"506"
"315";"604"
"315";"665"
"315";"1047"
"315";"1378"
"315";"1693"
"315";"1826"
"316";"137"
"316";"349"
"316";"624"
"316";"896"
"316";"949"
"321";"139"
"322";"140"
"323";"141"
"323";"600"
"332";"143"
"332";"302"
"332";"551"
"335";"144"
"340";"146"
"342";"148"
"342";"245"
"343";"150"
"343";"291"
"343";"314"
"343";"370"
"343";"474"
"343";"591"
"345";"151"
"348";"154"
"348";"1839"
"349";"206"
"349";"391"
"349";"585"
"349";"1153"
"349";"1678"
"353";"227"
"357";"155"
"357";"187"
"359";"156"
"359";"437"
"359";"669"
"359";"1101"
"359";"1437"
"359";"1448"
"359";"1451"
"365";"159"
"365";"207"
"365";"230"
"365";"559"
"365";"862"
"365";"990"
"371";"160"
"371";"222"
"371";"269"
"371";"388"
"371";"597"
"371";"697"
"371";"740"
"371";"1051"
"374";"162"
"376";"164"
"378";"166"
"383";"613"
"383";"854"
"383";"998"
"399";"169"
"399";"1316"
"399";"1318"
"400";"240"
"400";"1841"
"402";"170"
"402";"327"
"402";"762"
"402";"1057"
"407";"174"
"407";"568"
"407";"1023"
"408";"272"
"408";"315"
"408";"318"
"408";"319"
"408";"325"
"408";"342"
"408";"343"
"408";"344"
"408";"345"
"408";"346"
"408";"350"
"408";"351"
"408";"353"
"408";"354"
"408";"355"
"408";"358"
"408";"359"
"408";"360"
"408";"362"
"408";"376"
"408";"377"
"408";"378"
"408";"379"
"408";"380"
"408";"381"
"408";"382"
"408";"383"
"408";"384"
"408";"390"
"408";"392"
"408";"393"
"408";"398"
"408";"405"
"408";"406"
"408";"411"
"408";"412"
"408";"413"
"408";"448"
"408";"540"
"408";"541"
"408";"543"
"408";"546"
"416";"176"
"418";"177"
"419";"178"
"420";"180"
"426";"810"
"426";"1078"
"426";"1219"
"433";"183"
"434";"184"
"434";"1399"
"434";"1434"
"434";"1435"
"437";"186"
"443";"236"
"443";"401"
"444";"190"
"444";"455"
"444";"527"
"444";"1055"
"445";"294"
"449";"193"
"449";"1208"
"455";"194"
"455";"1465"
"457";"195"
"457";"276"
"460";"197"
"460";"1594"
"462";"198"
"462";"475"
"463";"200"
"464";"201"
"466";"203"
"482";"212"
"484";"213"
"491";"216"
"491";"545"
"491";"811"
"491";"1125"
"495";"217"
"497";"218"
"505";"219"
"508";"221"
"512";"223"
"522";"225"
"525";"226"
"530";"228"
"530";"746"
"531";"231"
"531";"553"
"531";"594"
"531";"1281"
"531";"1303"
"533";"257"
"533";"456"
"533";"1639"
"534";"232"
"534";"659"
"534";"699"
"534";"790"
"535";"427"
"535";"497"
"536";"274"
"538";"235"
"544";"239"
"544";"847"
"544";"1187"
"547";"241"
"550";"301"
"550";"701"
"553";"400"
"553";"1840"
"554";"244"
"556";"246"
"556";"764"
"556";"903"
"556";"980"
"556";"1178"
"558";"248"
"561";"249"
"561";"785"
"561";"1065"
"561";"1259"
"563";"280"
"566";"250"
"566";"1375"
"569";"251"
"574";"253"
"574";"1557"
"577";"1842"
"581";"256"
"588";"500"
"588";"1395"
"588";"1396"
"588";"1637"
"609";"542"
"609";"885"
"609";"1251"
"613";"265"
"613";"656"
"613";"1112"
"615";"267"
"617";"268"
"617";"820"
"617";"1245"
"622";"275"
"628";"277"
"628";"431"
"628";"633"
"628";"725"
"628";"1202"
"628";"1751"
"634";"279"
"634";"432"
"634";"824"
"634";"959"
"634";"1241"
"635";"282"
"635";"619"
"635";"1061"
"637";"284"
"637";"1680"
"638";"285"
"638";"1234"
"640";"286"
"648";"290"
"648";"614"
"648";"944"
"648";"1698"
"651";"421"
"651";"1342"
"655";"296"
"655";"442"
"655";"618"
"655";"658"
"655";"816"
"655";"963"
"655";"1074"
"655";"1200"
"656";"297"
"656";"730"
"656";"846"
"656";"890"
"656";"1085"
"658";"298"
"658";"536"
"658";"745"
"658";"850"
"658";"901"
"658";"1228"
"662";"663"
"662";"1119"
"666";"299"
"676";"303"
"676";"570"
"678";"304"
"678";"630"
"680";"307"
"689";"313"
"689";"340"
"698";"316"
"698";"372"
"698";"1517"
"702";"366"
"702";"371"
"702";"374"
"705";"320"
"705";"1645"
"710";"324"
"710";"662"
"710";"1028"
"710";"1076"
"710";"1249"
"712";"328"
"714";"329"
"714";"529"
"714";"576"
"714";"1022"
"715";"572"
"717";"330"
"717";"640"
"717";"1013"
"727";"333"
"727";"1438"
"727";"1644"
"728";"334"
"729";"335"
"729";"1708"
"730";"336"
"730";"489"
"730";"556"
"732";"339"
"732";"1709"
"735";"341"
"735";"347"
"735";"635"
"740";"443"
"740";"535"
"740";"655"
"740";"1079"
"740";"1144"
"759";"361"
"760";"363"
"761";"364"
"761";"893"
"761";"1276"
"762";"368"
"762";"524"
"762";"827"
"762";"1192"
"765";"369"
"765";"491"
"765";"503"
"765";"643"
"769";"511"
"769";"686"
"769";"744"
"769";"817"
"769";"1486"
"770";"760"
"772";"502"
"772";"668"
"772";"671"
"788";"974"
"789";"394"
"791";"945"
"791";"1018"
"791";"1286"
"791";"1487"
"792";"396"
"793";"397"
"793";"501"
"793";"803"
"793";"1258"
"806";"402"
"806";"499"
"807";"403"
"809";"404"
"809";"940"
"809";"1203"
"810";"715"
"815";"407"
"815";"964"
"817";"409"
"818";"410"
"818";"607"
"818";"805"
"818";"1066"
"818";"1404"
"818";"1813"
"824";"415"
"827";"416"
"828";"939"
"829";"417"
"851";"422"
"852";"423"
"852";"637"
"852";"919"
"857";"424"
"857";"1031"
"859";"615"
"859";"884"
"859";"1067"
"859";"1100"
"862";"426"
"865";"430"
"865";"661"
"866";"433"
"867";"434"
"867";"999"
"868";"435"
"877";"538"
"886";"438"
"886";"1224"
"889";"439"
"891";"444"
"893";"445"
"894";"446"
"894";"844"
"894";"1069"
"894";"1294"
"895";"447"
"901";"449"
"902";"450"
"903";"451"
"906";"453"
"906";"627"
"907";"454"
"916";"700"
"916";"875"
"919";"459"
"929";"460"
"929";"672"
"930";"461"
"930";"486"
"930";"639"
"930";"813"
"930";"1046"
"930";"1148"
"931";"462"
"938";"464"
"940";"621"
"942";"468"
"942";"520"
"948";"470"
"952";"471"
"955";"473"
"955";"861"
"959";"476"
"964";"477"
"964";"666"
"964";"830"
"964";"836"
"964";"948"
"966";"478"
"967";"479"
"967";"754"
"967";"1193"
"974";"480"
"977";"482"
"977";"848"
"977";"1012"
"978";"484"
"979";"1198"
"988";"488"
"991";"731"
"991";"962"
"991";"1136"
"993";"490"
"998";"493"
"998";"1141"
"998";"1149"
"998";"1256"
"1002";"496"
"1002";"741"
"1002";"994"
"1008";"689"
"1013";"504"
"1013";"1191"
"1015";"505"
"1015";"581"
"1020";"507"
"1027";"510"
"1033";"514"
"1033";"1134"
"1036";"516"
"1039";"620"
"1039";"798"
"1042";"518"
"1042";"1761"
"1043";"721"
"1048";"521"
"1048";"927"
"1049";"522"
"1049";"734"
"1049";"1064"
"1049";"1131"
"1050";"523"
"1050";"1592"
"1060";"528"
"1060";"1218"
"1062";"531"
"1062";"652"
"1062";"947"
"1063";"532"
"1078";"537"
"1078";"772"
"1078";"1072"
"1079";"539"
"1081";"544"
"1087";"548"
"1091";"549"
"1101";"667"
"1104";"558"
"1104";"601"
"1109";"561"
"1109";"711"
"1110";"562"
"1110";"598"
"1110";"892"
"1110";"1158"
"1116";"564"
"1117";"565"
"1117";"784"
"1117";"1029"
"1120";"566"
"1120";"828"
"1124";"822"
"1124";"1003"
"1136";"571"
"1136";"1027"
"1139";"573"
"1140";"579"
"1143";"574"
"1143";"1025"
"1144";"575"
"1144";"1612"
"1146";"578"
"1148";"801"
"1148";"1123"
"1150";"580"
"1154";"583"
"1156";"641"
"1157";"584"
"1157";"645"
"1170";"588"
"1172";"589"
"1173";"590"
"1177";"593"
"1177";"831"
